,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
4,RM West (IRE),2009-2009,5,4,1,11,8,3.66,11,100.0,0,0,0,1,0,
5,Yasir Shah (PAK),2011-2011,2,1,1,11,11*,-,7,157.14,0,0,0,1,0,
6,Zeshan Arif (Aut),2019-2019,4,1,1,11,11*,-,8,137.5,0,0,0,2,0,
7,Aftab Ahmed (2) (DEN),2019-2019,1,1,0,10,10,10.00,13,76.92,0,0,0,1,0,
8,R Avery (),2019-2019,4,3,0,10,9,3.33,24,41.66,0,0,1,0,0,
9,CS Baugh (WI),2008-2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0,
10,FH Edwards (WI),2007-2012,20,4,2,10,7*,5.00,9,111.11,0,0,1,1,0,
11,N Pradeep (SL),2016-2019,14,6,5,10,8*,10.00,15,66.66,0,0,1,1,0,
12,S Hallett (Peru),2019-2019,4,4,0,10,5,2.50,16,62.5,0,0,1,1,0,
13,MJ Henry (NZ),2014-2017,6,2,1,10,10,10.00,5,200.0,0,0,0,2,0,
14,S Jyoti (CAN),2008-2008,2,2,1,10,10*,10.00,20,50.0,0,0,1,0,0,
15,G Kaltongga (VAN),2019-2019,3,2,0,10,10,5.00,12,83.33,0,0,1,1,0,
16,RWT Key (ENG),2009-2009,1,1,1,10,10*,-,8,125.0,0,0,0,0,0,
17,ZE Matsinhe (Moz),2019-2019,7,4,1,10,6*,3.33,17,58.82,0,0,1,0,1,
18,Mohammad Ghazanfar (HKG),2019-2019,5,2,1,10,6*,10.00,10,100.0,0,0,0,1,0,
19,S Nerandzic (Serb),2019-2019,2,2,0,10,5,5.00,33,30.3,0,0,0,1,0,
20,M Ntini (SA),2005-2011,10,4,2,10,5,5.00,11,90.9,0,0,1,2,0,
21,PP Ojha (INDIA),2009-2010,6,1,1,10,10*,-,6,166.66,0,0,0,0,1,
22,BA Parchment (WI),2007-2007,1,1,0,10,10,10.00,6,166.66,0,0,0,1,1,
23,SL Perera (Ghana),2019-2019,2,2,0,10,7,5.00,23,43.47,0,0,0,0,0,
24,P Raho (PNG),2016-2016,2,2,2,10,8*,-,6,166.66,0,0,0,0,1,
25,SHA Rance (NZ),2017-2019,8,3,0,10,8,3.33,21,47.61,0,0,0,0,0,
26,A Rangaswamy (Botsw),2019-2019,4,3,0,10,7,3.33,13,76.92,0,0,1,0,1,
27,D Ravu (PNG),2019-2019,17,4,1,10,6,3.33,9,111.11,0,0,1,1,0,
28,GA Reynold (Blz),2019-2019,3,2,1,10,6*,10.00,10,100.0,0,0,0,0,1,
29,ACL Richards (WI),2007-2007,1,1,0,10,10,10.00,15,66.66,0,0,0,1,0,
30,ZE Surkari (CAN),2008-2008,4,3,0,10,6,3.33,33,30.3,0,0,1,0,0,
31,SR Tendulkar (INDIA),2006-2006,1,1,0,10,10,10.00,12,83.33,0,0,0,2,0,
32,MA Wood (ENG),2015-2019,5,2,2,10,5*,-,12,83.33,0,0,0,1,0,
33,Zahoor Khan (UAE),2017-2019,18,5,2,10,6,3.33,19,52.63,0,0,0,1,0,
34,Zakir Hasan (BDESH),2018-2018,1,1,0,10,10,10.00,9,111.11,0,0,0,1,0,
35,Abdul Rashid (Belg),2019-2019,1,1,0,9,9,9.00,24,37.5,0,0,0,0,0,
36,Afsar Zazai (AFG),2013-2013,1,1,0,9,9,9.00,21,42.85,0,0,0,0,0,
37,Anam Mollik (ITA),2019-2019,2,1,0,9,9,9.00,10,90.0,0,0,0,1,0,
38,P Arora (Mex),2019-2019,2,2,1,9,6*,9.00,4,225.0,0,0,0,0,1,
39,HH Banner (Blz),2019-2019,3,2,1,9,6,9.00,10,90.0,0,0,0,0,1,
40,JJ Celestine (BMUDA),2008-2008,3,3,0,9,7,3.00,17,52.94,0,0,1,0,0,
41,FRJ Coleman (SCOT),2013-2013,1,1,0,9,9,9.00,13,69.23,0,0,0,1,0,
42,BM Duckett (ENG),2019-2019,1,1,0,9,9,9.00,7,128.57,0,0,0,1,0,
43,Elias Sunny (BDESH),2012-2012,7,4,2,9,5,4.50,9,100.0,0,0,0,1,0,
44,H Hiri (PNG),2016-2019,5,4,0,9,4,2.25,15,60.0,0,0,0,0,0,
45,Iqbal Hussain (QAT),2019-2019,15,5,3,9,4*,4.50,10,90.0,0,0,1,1,0,
46,NA Janes (THAI),2019-2019,2,2,0,9,9,4.50,11,81.81,0,0,1,1,0,
47,Kaleemullah (OMAN),2017-2019,6,2,0,9,9,4.50,7,128.57,0,0,1,0,1,
48,JS Kundi (KENYA),2019-2019,6,4,0,9,6,2.25,22,40.9,0,0,1,1,0,
49,R McLaren (SA),2009-2014,12,4,3,9,6*,9.00,13,69.23,0,0,0,0,0,
0,Mohammad Asif (PAK),2006-2010,11,3,3,9,5*,-,3,300.0,0,0,0,2,0,
1,Muhammad Asjed (ESP),2019-2019,2,1,0,9,9,9.00,9,100.0,0,0,0,1,0,
2,Muhammad Wafiq (MAL),2019-2019,4,3,1,9,6*,4.50,12,75.0,0,0,1,1,0,
3,JS Patel (NZ),2005-2008,11,4,1,9,5,3.00,14,64.28,0,0,1,1,0,
4,WKD Perkins (WI),2008-2008,1,1,0,9,9,9.00,11,81.81,0,0,0,1,0,
5,VRCF Poubel (),2019-2019,3,3,2,9,5*,9.00,15,60.0,0,0,0,0,0,
6,A Poulose (OMAN),2017-2017,3,3,0,9,9,3.00,14,64.28,0,0,2,2,0,
7,KW Richardson (AUS),2014-2019,15,2,0,9,9,4.50,8,112.5,0,0,1,0,0,
8,IH Romaine (BMUDA),2008-2008,2,2,0,9,8,4.50,20,45.0,0,0,0,0,0,
9,Sakib Hasan (Serb),2019-2019,2,2,0,9,8,4.50,7,128.57,0,0,0,1,0,
10,MM Sarwar (KUW),2019-2019,5,3,1,9,8,4.50,9,100.0,0,0,1,0,1,
11,RAJ Smith (SCOT),2019-2019,2,1,1,9,9*,-,7,128.57,0,0,0,1,0,
12,B Stanlake (AUS),2017-2019,19,2,1,9,7,9.00,12,75.0,0,0,0,0,1,
13,Syazrul Idrus (MAL),2019-2019,2,1,1,9,9*,-,8,112.5,0,0,0,1,0,
14,Usman Ali (Saudi),2019-2019,5,2,1,9,7,9.00,14,64.28,0,0,0,1,0,
15,T Wangchuk jnr (BHU),2019-2019,2,2,0,9,9,4.50,17,52.94,0,0,1,2,0,
16,S Waqas Ahmed (NOR),2019-2019,5,3,1,9,8*,4.50,20,45.0,0,0,1,0,0,
17,Abbas Saad (Saudi),2019-2019,2,2,0,8,8,4.00,8,100.0,0,0,1,1,0,
18,S Appu (MALTA),2019-2019,4,4,1,8,6,2.66,14,57.14,0,0,0,0,0,
19,B Banerjee (Mex),2019-2019,6,4,2,8,6*,4.00,18,44.44,0,0,2,0,0,
20,AM Blignaut (ZIM),2010-2010,1,1,0,8,8,8.00,8,100.0,0,0,0,1,0,
21,GH Bodi (SA),2007-2007,1,1,0,8,8,8.00,25,32.0,0,0,0,0,0,
22,JJ Bumrah (INDIA),2016-2019,42,6,4,8,7,4.00,13,61.53,0,0,1,1,0,
23,Charanjeet Singh (ITA),2019-2019,3,2,2,8,8*,-,9,88.88,0,0,0,1,0,
24,H Dandapani (Fin),2019-2019,5,3,2,8,5,8.00,15,53.33,0,0,0,0,0,
25,AS Dean (CAN),2008-2013,2,2,0,8,7,4.00,10,80.0,0,0,0,0,0,
26,B Fernando (SL),2015-2015,2,1,1,8,8*,-,12,66.66,0,0,0,1,0,
27,JD Freyone (GIBR),2019-2019,4,4,0,8,4,2.00,29,27.58,0,0,2,0,0,
28,Hamza Dar (ESP),2019-2019,1,1,0,8,8,8.00,6,133.33,0,0,0,1,0,
29,HMRKB Herath (SL),2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0,
30,E Isaneez (UGA),2019-2019,3,2,2,8,7*,-,13,61.53,0,0,0,0,0,
31,S Randiv (SL),2010-2011,7,2,0,8,6,4.00,6,133.33,0,0,0,1,0,
32,N Khanna (MALTA),2019-2019,2,2,0,8,6,4.00,12,66.66,0,0,0,1,0,
33,Khushdil Shah (PAK),2019-2019,1,1,0,8,8,8.00,11,72.72,0,0,0,0,0,
34,Kuldeep Singh (PHI),2019-2019,4,3,0,8,6,2.66,16,50.0,0,0,0,0,0,
35,NCK Liyanage (MAL),2019-2019,6,3,1,8,8,4.00,8,100.0,0,0,1,1,0,
36,BAW Mendis (SL),2008-2014,39,8,5,8,4*,2.66,17,47.05,0,0,0,1,0,
37,M Mooketsi (Botsw),2019-2019,7,5,0,8,3,1.60,24,33.33,0,0,1,0,0,
38,Mujeeb Ur Rahman (AFG),2018-2019,16,3,3,8,8*,-,8,100.0,0,0,0,1,0,
39,WA Peatfield (GUE),2019-2019,8,2,1,8,7*,8.00,12,66.66,0,0,0,1,0,
40,CAK Rajitha (SL),2016-2019,10,4,2,8,5,4.00,23,34.78,0,0,1,0,0,
41,Shahadat Hossain (BDESH),2006-2013,6,5,3,8,4*,4.00,12,66.66,0,0,1,0,0,
42,I Sharma (INDIA),2008-2013,14,3,2,8,5*,8.00,9,88.88,0,0,1,1,0,
43,Simranjit Singh (ITA),2019-2019,1,1,0,8,8,8.00,9,88.88,0,0,0,0,0,
44,O Thomas (WI),2018-2019,10,4,2,8,8*,4.00,11,72.72,0,0,2,2,0,
45,R Vishwanath (LUX),2019-2019,2,2,0,8,5,4.00,10,80.0,0,0,0,1,0,
46,BV Vitori (ZIM),2012-2016,11,2,2,8,7*,-,7,114.28,0,0,0,0,0,
47,Yasar Idrees (KUW),2019-2019,1,1,0,8,8,8.00,4,200.0,0,0,0,0,1,
48,Al-Amin Hossain (BDESH),2013-2019,28,6,4,7,5*,3.50,12,58.33,0,0,1,1,0,
49,RP Arnold (SL),2006-2006,1,1,0,7,7,7.00,7,100.0,0,0,0,0,0,
0,Aslam Mohammad (),2019-2019,3,1,0,7,7,7.00,8,87.5,0,0,0,1,0,
1,PRP Boissevain (NL),2019-2019,4,2,1,7,7*,7.00,7,100.0,0,0,1,1,0,
2,NB Budayair (NEPAL),2014-2014,4,3,1,7,5,3.50,19,36.84,0,0,1,0,0,
3,MA Carberry (ENG),2014-2014,1,1,0,7,7,7.00,7,100.0,0,0,0,1,0,
4,PKD Chase (IRE),2018-2019,12,5,4,7,4,7.00,13,53.84,0,0,0,1,0,
5,DK Dahyabhai Ahir (PNM),2019-2019,2,1,0,7,7,7.00,10,70.0,0,0,0,1,0,
6,P Danci (ROM),2019-2019,2,2,1,7,5,7.00,11,63.63,0,0,0,1,0,
7,DC Delany (IRE),2019-2019,8,2,0,7,7,3.50,6,116.66,0,0,1,0,0,
8,P Kumar (INDIA),2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0,
9,Kushal Malla (NEPAL),2019-2019,3,2,0,7,5,3.50,15,46.66,0,0,0,1,0,
10,RAS Lakmal (SL),2011-2019,11,6,3,7,5*,2.33,11,63.63,0,0,2,1,0,
11,ND McKenzie (SA),2006-2009,2,1,1,7,7*,-,8,87.5,0,0,0,0,0,
12,S Mahmood (ENG),2019-2019,3,2,1,7,4,7.00,7,100.0,0,0,0,1,0,
13,A Nao (PNG),2017-2017,2,2,2,7,7*,-,4,175.0,0,0,0,1,0,
14,Naveen-ul-Haq (AFG),2019-2019,4,2,1,7,5,7.00,7,100.0,0,0,0,1,0,
15,J Nyumbu (ZIM),2018-2018,2,2,2,7,6*,-,11,63.63,0,0,0,1,0,
16,Qadeer Ahmed (UAE),2015-2019,10,4,3,7,5*,7.00,12,58.33,0,0,1,1,0,
17,LH Rodrigues (),2019-2019,4,3,2,7,4*,7.00,12,58.33,0,0,1,1,0,
18,GA Rogers (SCOT),2008-2009,2,2,2,7,6*,-,8,87.5,0,0,0,0,0,
19,E Schiferli (NL),2008-2010,7,3,1,7,5*,3.50,16,43.75,0,0,1,0,0,
20,JN Snape (ENG),2007-2007,1,1,0,7,7,7.00,11,63.63,0,0,0,0,0,
21,Suhail Sadiq (LUX),2019-2019,2,1,1,7,7*,-,5,140.0,0,0,0,0,1,
22,Sumair Khan (MALTA),2019-2019,1,1,0,7,7,7.00,6,116.66,0,0,0,1,0,
23,Syed Rasel (BDESH),2007-2008,8,3,1,7,6,3.50,9,77.77,0,0,0,1,0,
24,Tanveer Ahmed (HKG),2016-2017,5,2,1,7,7*,7.00,11,63.63,0,0,1,1,0,
25,LV van Beek (NL),2014-2016,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,0,
26,Adnan Mufti (UAE),2017-2017,1,1,1,6,6*,-,7,85.71,0,0,0,0,0,
27,U Aryaman Sunil (SGP),2019-2019,2,1,0,6,6,6.00,4,150.0,0,0,0,0,1,
28,TS Braat (NL),2019-2019,3,2,0,6,5,3.00,7,85.71,0,0,0,1,0,
29,DG Brownlie (NZ),2010-2014,5,5,0,6,5,1.20,18,33.33,0,0,3,1,0,
30,DE Burgess (Samoa),2019-2019,4,4,0,6,3,1.50,12,50.0,0,0,2,0,0,
31,SDJJ Dima (Moz),2019-2019,4,2,0,6,3,3.00,8,75.0,0,0,0,0,0,
32,RMS Eranga (SL),2012-2013,3,1,0,6,6,6.00,7,85.71,0,0,0,1,0,
33,L Evile (Samoa),2019-2019,4,1,0,6,6,6.00,7,85.71,0,0,0,1,0,
34,NM Hauritz (AUS),2009-2009,3,2,0,6,4,3.00,10,60.0,0,0,0,1,0,
35,R Hekure (PNG),2019-2019,8,4,1,6,2*,2.00,12,50.0,0,0,0,0,0,
36,PJ Hughes (AUS),2014-2014,1,1,0,6,6,6.00,8,75.0,0,0,0,1,0,
37,Javed Ahmadi (AFG),2012-2017,3,2,0,6,6,3.00,7,85.71,0,0,1,1,0,
38,Jay Odedra (OMAN),2019-2019,3,1,1,6,6*,-,6,100.0,0,0,0,0,0,
39,D Maisuria (Botsw),2019-2019,6,3,2,6,6*,6.00,11,54.54,0,0,1,0,0,
40,I Master (Botsw),2019-2019,2,2,0,6,4,3.00,8,75.0,0,0,0,1,0,
41,Z McLaughlin (Caym),2019-2019,3,2,2,6,4*,-,16,37.5,0,0,0,0,0,
42,KO Meth (ZIM),2012-2012,2,1,1,6,6*,-,6,100.0,0,0,0,0,0,
43,J Mulder (IRE),2016-2017,8,4,2,6,5*,3.00,11,54.54,0,0,1,0,0,
44,GBW Munaweera (QAT),2019-2019,5,1,1,6,6*,-,7,85.71,0,0,0,0,0,
45,L Ngidi (SA),2017-2018,7,2,1,6,4,6.00,9,66.66,0,0,0,0,0,
46,Omar Hayat (DEN),2019-2019,2,2,0,6,5,3.00,4,150.0,0,0,0,0,0,
47,JA Rudolph (SA),2006-2006,1,1,1,6,6*,-,7,85.71,0,0,0,0,0,
48,Shoaib Ali (Saudi),2019-2019,5,2,0,6,6,3.00,10,60.0,0,0,1,0,0,
49,OF Smith (WI),2018-2018,2,1,0,6,6,6.00,5,120.0,0,0,0,1,0,
0,R Strydom (IRE),2008-2008,4,2,1,6,5*,6.00,7,85.71,0,0,0,0,0,
1,HER Tyler (PHI),2019-2019,2,1,0,6,6,6.00,9,66.66,0,0,0,0,0,
2,TC Vine (ESP),2019-2019,6,1,1,6,6*,-,7,85.71,0,0,0,1,0,
3,CA Young (IRE),2015-2019,26,7,5,6,2*,3.00,11,54.54,0,0,0,0,0,
4,SA Abbott (AUS),2014-2019,4,1,0,5,5,5.00,8,62.5,0,0,0,1,0,
5,M Ansari (OMAN),2015-2016,11,4,4,5,3*,-,10,50.0,0,0,0,0,0,
6,Anwar Rahman (MAL),2019-2019,9,4,1,5,3*,1.66,8,62.5,0,0,1,0,0,
7,Arslan Ahmed (),2019-2019,3,1,0,5,5,5.00,13,38.46,0,0,0,0,0,
8,MS Atapattu (SL),2006-2006,2,1,0,5,5,5.00,8,62.5,0,0,0,0,0,
9,Atif Mehmood (ESP),2019-2019,9,2,2,5,5*,-,8,62.5,0,0,0,0,0,
10,MA Baig (MWI),2019-2019,7,4,0,5,5,1.25,12,41.66,0,0,3,1,0,
11,A Bhagwat (HKG),2019-2019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0,
12,A Bohara (NEPAL),2019-2019,17,5,2,5,3*,1.66,12,41.66,0,0,2,0,0,
13,IG Butler (NZ),2009-2013,19,6,5,5,2*,5.00,10,50.0,0,0,0,0,0,
14,T Caruana (GIBR),2019-2019,2,1,0,5,5,5.00,13,38.46,0,0,0,0,0,
15,Hasheem Shahzad (MALTA),2019-2019,2,2,0,5,5,2.50,9,55.55,0,0,1,1,0,
16,Imran Ali (KUW),2019-2019,4,2,1,5,5*,5.00,6,83.33,0,0,1,0,0,
17,Junaid Siddique (UAE),2019-2019,8,4,1,5,3,1.66,17,29.41,0,0,1,0,0,
18,I Katzarski (),2019-2019,3,2,0,5,3,2.50,12,41.66,0,0,0,0,0,
19,D Kegasitswe (Botsw),2019-2019,4,2,2,5,4*,-,11,45.45,0,0,0,0,0,
20,TCR Kimber (GUE),2019-2019,3,3,0,5,2,1.66,13,38.46,0,0,0,0,0,
21,A Krishna (SGP),2019-2019,4,2,1,5,4,5.00,3,166.66,0,0,0,1,0,
22,AM McCarthy (WI),2018-2018,1,1,0,5,5,5.00,8,62.5,0,0,0,0,0,
23,GD McGrath (AUS),2005-2005,2,1,0,5,5,5.00,12,41.66,0,0,0,0,0,
24,CS Martin (NZ),2007-2008,6,1,1,5,5*,-,6,83.33,0,0,0,0,0,
25,Mohammad Hasnain (PAK),2019-2019,4,3,2,5,4*,5.00,12,41.66,0,0,0,1,0,
26,Mohammad Salman (PAK),2011-2011,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0,
27,A Morris (Caym),2019-2019,6,4,2,5,3*,2.50,17,29.41,0,0,1,0,0,
28,GRD Munasinghe (ITA),2019-2019,8,4,1,5,4*,1.66,13,38.46,0,0,2,1,0,
29,T Mupariwa (ZIM),2007-2008,4,2,2,5,3*,-,3,166.66,0,0,0,0,0,
30,N M'shangwe (ZIM),2013-2014,5,2,1,5,5*,5.00,4,125.0,0,0,1,1,0,
31,A Nanda (LUX),2019-2019,3,1,0,5,5,5.00,5,100.0,0,0,0,1,0,
32,GM Ntambalika (MWI),2019-2019,3,1,0,5,5,5.00,11,45.45,0,0,0,0,0,
33,Parvez Rasool (INDIA),2017-2017,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0,
34,NK Patel (USA),2019-2019,4,2,1,5,5*,5.00,10,50.0,0,0,1,0,0,
35,D Paterson (SA),2017-2018,8,2,1,5,4*,5.00,2,250.0,0,0,0,1,0,
36,JL Pattinson (AUS),2011-2012,4,2,2,5,5*,-,3,166.66,0,0,0,1,0,
37,JE Pitcher (BMUDA),2019-2019,3,1,1,5,5*,-,4,125.0,0,0,0,0,0,
38,AG Prince (SA),2005-2005,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0,
39,K Rabada (SA),2014-2019,21,4,2,5,5*,2.50,12,41.66,0,0,2,0,0,
40,RJ Ranpura (OMAN),2015-2016,3,2,2,5,5*,-,8,62.5,0,0,0,0,0,
41,BM Scholtz (NAM),2019-2019,14,4,3,5,3*,5.00,10,50.0,0,0,1,0,0,
42,RJ Sidebottom (ENG),2007-2010,18,1,1,5,5*,-,4,125.0,0,0,0,1,0,
43,M Spry (Peru),2019-2019,4,2,1,5,3*,5.00,11,45.45,0,0,0,0,0,
44,R Telemachus (SA),2006-2007,3,1,1,5,5*,-,3,166.66,0,0,0,0,0,
45,BM Tickner (NZ),2019-2019,3,1,1,5,5*,-,6,83.33,0,0,0,0,0,
46,DR Tuffey (NZ),2005-2010,3,2,1,5,5*,5.00,5,100.0,0,0,1,1,0,
47,C Vorster (GUE),2019-2019,1,1,0,5,5,5.00,8,62.5,0,0,0,0,0,
48,TD Astle (NZ),2016-2019,3,2,0,4,3,2.00,10,40.0,0,0,0,0,0,
49,Baljit Singh (ITA),2019-2019,8,3,0,4,3,1.33,16,25.0,0,0,1,0,0,
0,GJ Batty (ENG),2009-2009,1,1,0,4,4,4.00,7,57.14,0,0,0,0,0,
1,P Bharat Patel (PNM),2019-2019,2,1,1,4,4*,-,7,57.14,0,0,0,0,0,
2,SR Bhudia (KENYA),2019-2019,4,3,1,4,3,2.00,16,25.0,0,0,1,0,0,
3,JAR Blain (SCOT),2007-2008,6,3,1,4,3*,2.00,5,80.0,0,0,1,0,0,
4,CJ Boyce (AUS),2014-2016,7,2,1,4,3,4.00,7,57.14,0,0,0,0,0,
5,PR Brown (ENG),2019-2019,4,1,1,4,4*,-,9,44.44,0,0,0,0,0,
6,NM Carter (SCOT),2013-2013,7,2,0,4,3,2.00,12,33.33,0,0,0,0,0,
7,YS Chahal (INDIA),2016-2019,36,3,2,4,3*,4.00,9,44.44,0,0,0,0,0,
8,PC Connell (IRE),2008-2010,9,3,2,4,3*,4.00,7,57.14,0,0,1,0,0,
9,PA Desai (CAN),2012-2012,1,1,1,4,4*,-,7,57.14,0,0,0,0,0,
10,AB Dursak (TKY),2019-2019,4,4,0,4,3,1.00,24,16.66,0,0,2,0,0,
11,C Emmott (Chile),2019-2019,2,2,0,4,4,2.00,11,36.36,0,0,1,0,0,
12,Farhan Ahmed (UAE),2016-2016,3,1,0,4,4,4.00,8,50.0,0,0,0,0,0,
13,K Gore (USA),2019-2019,4,1,1,4,4*,-,3,133.33,0,0,0,0,0,
14,Ibrahim Rizan (Mald),2019-2019,5,3,1,4,3,2.00,14,28.57,0,0,0,0,0,
15,Imran Haider (UAE),2016-2019,11,2,2,4,4*,-,8,50.0,0,0,0,0,0,
16,H Ivanov (),2019-2019,3,1,0,4,4,4.00,6,66.66,0,0,0,0,0,
17,A Karn (NEPAL),2015-2015,2,1,0,4,4,4.00,7,57.14,0,0,0,0,0,
18,MF Koc (TKY),2019-2019,2,2,1,4,4*,4.00,15,26.66,0,0,1,0,0,
19,CBRLS Kumara (SL),2019-2019,3,1,0,4,4,4.00,2,200.0,0,0,0,1,0,
20,CK Langeveldt (SA),2005-2010,9,3,2,4,2*,4.00,8,50.0,0,0,0,0,0,
21,NM Lyon (AUS),2016-2018,2,1,1,4,4*,-,4,100.0,0,0,0,0,0,
22,RT Lyons (SCOT),2010-2010,2,2,0,4,4,2.00,17,23.52,0,0,1,0,0,
23,GE Mathurin (WI),2011-2012,3,2,2,4,3*,-,5,80.0,0,0,0,0,0,
24,Mohammad Irfan (PAK),2012-2019,22,4,4,4,2*,-,8,50.0,0,0,0,0,0,
25,Mohammad Tauqir (UAE),2015-2015,3,2,1,4,4,4.00,6,66.66,0,0,0,1,0,
26,Muhammad Khurram (MWI),2019-2019,5,3,0,4,3,1.33,20,20.0,0,0,1,0,0,
27,Muhammad Rafique (BAH),2019-2019,2,1,0,4,4,4.00,5,80.0,0,0,0,0,0,
28,JM Muirhead (AUS),2014-2014,5,2,1,4,3,4.00,8,50.0,0,0,0,0,0,
29,Nazmus Sadat (BDESH),2006-2006,1,1,0,4,4,4.00,3,133.33,0,0,0,0,0,
30,JO Ngoche (KENYA),2012-2013,7,3,1,4,2,2.00,17,23.52,0,0,0,0,0,
31,Pavandeep Singh (MAL),2019-2019,10,4,3,4,2*,4.00,7,57.14,0,0,0,0,0,
32,Qasim Zia (BAH),2019-2019,3,1,1,4,4*,-,1,400.0,0,0,0,1,0,
33,NJ Reardon (AUS),2014-2014,2,1,0,4,4,4.00,8,50.0,0,0,0,0,0,
34,CB Sole (SCOT),2017-2018,4,1,1,4,4*,-,2,200.0,0,0,0,1,0,
35,CR Suryawanshi (SGP),2019-2019,3,2,0,4,4,2.00,6,66.66,0,0,1,0,0,
36,K Suttisan (THAI),2019-2019,2,2,0,4,4,2.00,5,80.0,0,0,1,1,0,
37,SP Terry (IRE),2016-2016,1,1,0,4,4,4.00,6,66.66,0,0,0,0,0,
38,T Thushara (SL),2008-2010,6,2,0,4,3,2.00,8,50.0,0,0,0,0,0,
39,T Tshose (Botsw),2019-2019,2,2,2,4,4*,-,6,66.66,0,0,0,0,0,
40,T Ulutuna (TKY),2019-2019,3,3,0,4,4,1.33,9,44.44,0,0,2,1,0,
41,S Vashisht (ROM),2019-2019,3,1,0,4,4,4.00,6,66.66,0,0,0,1,0,
42,Abu Jayed (BDESH),2018-2018,3,2,0,3,2,1.50,7,42.85,0,0,0,0,0,
43,GJ Agius (MALTA),2019-2019,2,2,0,3,3,1.50,15,20.0,0,0,1,0,0,
44,Amir Hayat (UAE),2018-2019,4,2,0,3,3,1.50,6,50.0,0,0,1,0,0,
45,Amjad Mahboob (SGP),2019-2019,11,5,1,3,1*,0.75,14,21.42,0,0,2,0,0,
46,A Aspiotis (),2019-2019,3,1,1,3,3*,-,4,75.0,0,0,0,0,0,
47,MC Bascombe (WI),2011-2011,1,1,0,3,3,3.00,7,42.85,0,0,0,0,0,
48,P Bhart (NOR),2019-2019,5,3,2,3,2*,3.00,17,17.64,0,0,1,0,0,
49,S Byrne (MALTA),2019-2019,2,2,0,3,3,1.50,9,33.33,0,0,1,0,0,
0,CL Cairns (NZ),2005-2006,2,2,0,3,2,1.50,13,23.07,0,0,0,0,0,
1,D de la Puente (Peru),2019-2019,2,2,1,3,2*,3.00,7,42.85,0,0,0,0,0,
2,ST de Silva (SL),2017-2017,3,2,0,3,3,1.50,7,42.85,0,0,1,0,0,
3,Fahad Ali (),2019-2019,3,3,0,3,2,1.00,14,21.42,0,0,1,0,0,
4,Fawad Ahmed (AUS),2013-2013,2,1,1,3,3*,-,5,60.0,0,0,0,0,0,
5,Fida Hussain (ITA),2019-2019,2,1,1,3,3*,-,4,75.0,0,0,0,0,0,
6,WT Gavera (PNG),2015-2017,6,2,0,3,2,1.50,6,50.0,0,0,0,0,0,
7,JOA Gordon (CAN),2013-2019,7,2,2,3,2*,-,6,50.0,0,0,0,0,0,
8,AM Guruge (UAE),2014-2015,5,3,2,3,1*,3.00,8,37.5,0,0,0,0,0,
9,Ibrahim Nashath (Mald),2019-2019,3,2,1,3,3*,3.00,5,60.0,0,0,1,0,0,
10,Javed Maroofkhail (NOR),2019-2019,2,1,0,3,3,3.00,8,37.5,0,0,0,0,0,
11,Junaid Khan (PAK),2011-2014,9,2,2,3,3*,-,4,75.0,0,0,0,0,0,
12,MS Kasprowicz (AUS),2005-2005,2,1,1,3,3*,-,5,60.0,0,0,0,0,0,
13,GJP Kruger (SA),2006-2006,1,1,0,3,3,3.00,5,60.0,0,0,0,0,0,
14,Mahmad Data (PNM),2019-2019,2,1,0,3,3,3.00,5,60.0,0,0,0,0,0,
15,Nazmul Hossain (BDESH),2009-2012,4,2,2,3,3*,-,15,20.0,0,0,0,0,0,
16,R Olipa (UGA),2019-2019,2,1,0,3,3,3.00,4,75.0,0,0,0,0,0,
17,M Patel (PNM),2019-2019,2,1,1,3,3*,-,6,50.0,0,0,0,0,0,
18,LN Rajbanshi (NEPAL),2018-2019,12,2,1,3,3,3.00,7,42.85,0,0,0,0,0,
19,KAJ Roach (WI),2008-2012,11,1,1,3,3*,-,2,150.0,0,0,0,0,0,
20,MM Sharma (INDIA),2014-2015,8,2,2,3,3*,-,7,42.85,0,0,0,0,0,
21,LA Simango (Moz),2019-2019,3,2,1,3,2,3.00,4,75.0,0,0,0,0,0,
22,RP Singh (INDIA),2007-2009,10,2,2,3,2*,-,3,100.0,0,0,0,0,0,
23,MJ Swepson (AUS),2018-2018,1,1,1,3,3*,-,4,75.0,0,0,0,0,0,
24,Tauqeer Hussain (ESP),2019-2019,4,1,1,3,3*,-,3,100.0,0,0,0,0,0,
25,R Ulutuna (TKY),2019-2019,4,4,0,3,1,0.75,16,18.75,0,0,1,0,0,
26,SMK Waththage (CZK-R),2019-2019,5,1,0,3,3,3.00,5,60.0,0,0,0,0,0,
27,Zahid Hussain (CAN),2012-2012,3,2,2,3,2*,-,8,37.5,0,0,0,0,0,
